dur,trnspt,srvs,flag_n,flag_arst,flag_uc,flag_sign,flag_synrst,flag_a,flag_othr,src_pkts,dst_pkts,urg_bits,push_pkts,no_lnkd,arp,src_ttl,dst_ttl,pkts_dirctn,src_byts,dst_byts,src_avg_byts,dst_avg_byts,strt_t,end_t,dst_host_count,host_dst _count,rtt_first_ack,rtt_avg,avg_t_sent,avg_t_got,repeated,fst_src_sqc,fst_dst_sqc,src_re,dst_re,src_fast_re,dst_fast_re,ovrlp_count,long_frag_count,dns_ratio,avg_rr,http_rqsts_count,http_redirct_count,http_clnt_error_count,http_srv_error_count,Class name,Class binary
0,17,53,0,0,0,0,0,0,0,1,0,0,0,0,0,128,0,1,84,0,84,0,1073.051227,1073.051227,1665,0,0,0,1073.051227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
89.814777,6,80,0,0,0,0,1,0,0,3,2,0,0,5005,0,128,127,2,174,120,58,60,2743,2832.814777,0,5006,0.000569,0.0039798,1410.387432,1425.363018,0,3023308442,312736223,0,0,0,0,0,0,0,0,0,0,0,0,TCP flood,0
12.186268,17,53,0,0,0,0,0,0,0,5,1,0,0,91,0,127,128,2,425,85,85,85,71132.04391,71144.23018,0,1616,0,0,71135.0408,71144.23018,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,Normal,1
0,6,165,0,0,0,1,0,0,0,1,0,0,0,0,0,128,0,1,66,0,66,0,18.136116,18.136116,0,0,0,0,18.136116,0,0,2931862410,0,0,0,0,0,0,0,0,0,0,0,0,0,Port scanning,0
0,6,490,0,0,0,1,0,0,0,1,0,0,0,0,0,128,0,1,66,0,66,0,53.601844,53.601844,0,0,0,0,53.601844,0,0,740055462,0,0,0,0,0,0,0,0,0,0,0,0,0,Port scanning,0
12.972685,6,139,1,0,0,0,0,0,0,13,11,0,18,239,0,128,128,2,1691,1745,130.0769231,158.6363636,11556.61264,11569.58532,0,239,0.000303,0.008614667,11560.62125,11560.15272,0,1780538384,2925855748,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
6223,256,0,0,0,0,0,0,0,0,12441,0,0,0,0,2,0,0,1,522522,0,42,0,71973,78196,1,0,0,0,1.999230493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARP poisoning,0
5966,256,0,0,0,0,0,0,0,0,11927,0,0,0,0,2,0,0,1,500934,0,42,0,43704,49670,1,0,0,0,1.999230488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARP poisoning,0
89.358963,6,80,0,0,0,0,1,0,0,3,2,0,0,5005,0,128,127,2,174,120,58,60,1251,1340.358963,0,5006,0.000191,0.0044068,1410.692674,1425.592252,0,1594271043,3471646971,0,0,0,0,0,0,0,0,0,0,0,0,TCP flood,0
0.668735,6,443,0,0,0,0,0,1,0,9,9,0,6,1,0,128,57,2,1652,6671,183.5555556,741.2222222,40.848408,41.260383,10,1,0.066963,0.015639,61207.74325,61208.41198,0,883889049,921702195,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0,256,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,42,0,42,0,48.312132,48.312132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.000421,17,389,0,0,0,0,0,0,0,1,1,0,0,144,0,127,128,2,240,200,240,200,72213.64221,72213.64263,0,1791,0,0,72213.64221,72213.64263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
11.394085,6,139,1,0,0,0,0,0,0,13,11,0,18,239,0,128,128,2,1691,1745,130.0769231,158.6363636,79238.18523,79249.57932,0,239,0.000272,0.00890675,79241.7086,79241.29477,0,2430931672,1341420826,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
92.336085,6,80,0,0,0,0,1,0,0,3,2,0,0,5005,0,128,127,2,174,120,58,60,1394,1486.336085,0,5006,0.000261,0.0053334,1408.702887,1424.101037,0,2373651184,720097550,0,0,0,0,0,0,0,0,0,0,0,0,TCP flood,0
12.345491,6,445,0,0,0,0,0,1,0,15,13,0,18,124,0,127,128,2,4661,2459,310.7333333,189.1538462,2252.088284,2264.433775,2,1791,0.000478,0.000292393,2255.383713,2254.941222,0,3146043014,2235086518,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
3609.315589,17,80,0,0,0,0,0,0,0,37970,0,0,0,470,0,128,0,1,1676375,0,331.8475791,0,1882,5491.315589,0,0,0,0,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UDP data flood,0
3.633599,1,54682,0,0,0,0,0,0,0,2,0,0,0,2,0,128,0,1,230,0,115,0,2320.273464,2323.907063,0,0,0,0,2322.090264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
44.635939,6,445,0,0,1,0,0,0,0,22,16,0,27,123,0,127,128,2,5958,3122,270.8181818,195.125,4598.29153,4642.927469,0,1664,0.000244,0.016863789,4608.44265,4606.653395,0,1316989159,2807698092,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
10.752996,6,139,1,0,0,0,0,0,0,12,10,0,16,239,0,128,128,2,1653,1690,137.75,169,35884.64036,35895.39335,0,239,0.000482,0.0097165,35888.24347,35887.86818,0,3210178094,1879041206,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.002369,17,53,0,0,0,0,0,0,0,1,1,0,0,66,0,127,128,2,73,131,73,131,8332.317133,8332.319502,0,1664,0,0,8332.317133,8332.319502,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Normal,1
5690.779468,17,80,0,0,0,0,0,0,0,59867,0,0,0,1110,0,128,0,1,2643128,0,523.2214648,0,1655,7345.779468,0,0,0,0,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UDP data flood,0
97.075713,6,80,0,0,0,0,1,0,0,3,2,0,0,2002,0,128,127,2,174,120,58,60,1375.854801,1472.930514,0,2003,0.001141,0.0014292,1408.212008,1424.393228,0,2589645332,157418581,0,0,0,0,0,0,0,0,0,0,0,0,TCP flood,0
34.482028,6,49155,1,0,0,0,0,0,0,11,9,0,10,26,0,127,128,2,3317,1580,301.5454545,175.5555556,39459.17634,39493.65837,0,1616,0.000254,0.01040555,39465.46674,39466.84205,0,936030197,694438132,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
3463,6,80,0,0,0,0,1,0,0,10389,5194.5,0,10386,5944,0,128,127,2,2566083,1012927.5,2918.258427,2308.666667,343,3806,0,5945,0.001448,0.069759849,2074.5,2074.5,0,33438945,57795538,0,0,0,0,0,0,0,0,5194,5192,0,1,Mass HTTP requests,0
11.989468,6,135,0,0,0,0,0,1,0,7,5,0,4,32,0,127,128,2,718,562,102.5714286,112.4,53063.39022,53075.37968,0,1791,0.000159,0.018323167,53066.84764,53068.18693,0,2848616563,26215015,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
93.525626,6,80,0,0,0,0,1,0,0,3,2,0,0,5005,0,128,127,2,174,120,58,60,1104,1197.525626,0,5006,0.000257,0.002174,1407.898546,1423.489657,0,2719670159,1307677005,0,0,0,0,0,0,0,0,0,0,0,0,TCP flood,0
9.420687,6,445,0,0,0,0,1,0,0,7,4,0,3,21,0,128,128,2,988,49,89.81818183,4.9,59.91407523,69.33476223,1,23,0.000807,0.00096,59.93465323,59.99776823,0,4148395991,722852762,0,0,0,0,0,0,0,0,0,0,0,0,Metasploit exploits,0
